抽選回,date,num1,num2,num3,num4,num5,num6,num7,bonus1,bonus2,set,本数字 奇:偶,本数字計,全数字 奇:偶,全数字計
第293回,2018/11/30,11,13,15,20,27,29,35,1,7,J,6：1,150,8：1,158
第294回,2018/12/07,3,4,6,10,14,22,29,28,32,F,2：5,88,2：7,148
第295回,2018/12/14,4,5,6,8,9,22,32,13,26,J,2：5,86,3：6,125
第296回,2018/12/21,1,8,10,12,18,28,29,25,27,H,2：5,106,4：5,158
第297回,2018/12/28,2,3,11,16,23,28,36,8,24,C,3：4,119,3：6,151
第298回,2019/01/04,1,3,8,11,18,19,22,26,30,E,4：3,82,4：5,138
第299回,2019/01/11,1,6,10,13,16,26,36,28,30,B,2：5,108,2：7,166
第300回,2019/01/18,4,7,21,31,33,34,35,6,12,I,5：2,165,5：4,183
第301回,2019/01/25,4,11,12,25,27,30,33,5,19,E,4：3,142,6：3,166
第302回,2019/02/01,8,16,26,27,28,32,34,4,25,G,1：6,171,2：7,200
第303回,2019/02/08,4,7,14,17,21,34,37,10,30,A,4：3,134,4：5,174
第304回,2019/02/15,7,9,10,17,28,33,36,18,23,A,4：3,140,5：4,181
第305回,2019/02/22,6,17,23,24,27,28,31,10,18,H,4：3,156,4：5,184
第306回,2019/03/01,12,13,15,22,25,33,35,1,31,D,5：2,155,7：2,187
第307回,2019/03/08,5,8,15,24,25,32,35,20,26,F,4：3,144,4：5,190
第308回,2019/03/15,5,6,11,15,20,32,33,13,25,A,4：3,122,6：3,160
第309回,2019/03/22,1,7,13,14,16,21,22,18,34,J,4：3,94,4：5,146
第310回,2019/03/29,17,25,26,28,31,32,37,6,9,E,4：3,196,5：4,211
第311回,2019/04/05,9,11,18,24,26,27,37,30,33,C,4：3,152,5：4,215
第312回,2019/04/12,1,2,4,18,20,29,34,17,30,J,2：5,108,3：6,155
第313回,2019/04/19,9,13,16,23,28,29,30,1,20,B,4：3,148,5：4,169
第314回,2019/04/26,3,6,8,19,32,34,35,12,30,C,3：4,137,3：6,179
第315回,0000/00/00,3,11,18,26,30,33,37,28,31,I,4：3,158,5：4,217
第316回,0000/00/00,3,9,10,17,30,33,34,6,8,G,4：3,136,4：5,150
